group,case_key,source_seed,proposed_mse,matched_reference_mse,gain_percent
Source seed 2904,seed2904_c1060_h1_k10_btight,2904,0.0047056907787919044,0.0047056907787919044,0
Source seed 2904,seed2904_c1060_h1_k20_btight,2904,0.0073060635477304459,0.0073060635477304459,0
Source seed 2904,seed2904_c1060_h4_k10_btight,2904,0.0077680051326751709,0.0077680051326751709,0
Source seed 2904,seed2904_c1060_h4_k20_btight,2904,0.007798314094543457,0.007798314094543457,0
Source seed 2904,seed2904_c1061_h1_k10_btight,2904,0.0084644639864563942,0.0084644639864563942,0
Source seed 2904,seed2904_c1061_h1_k20_btight,2904,0.0076195546425879002,0.0076195546425879002,0
Source seed 2904,seed2904_c1061_h4_k10_btight,2904,0.010028007440268993,0.010028007440268993,0
Source seed 2904,seed2904_c1061_h4_k20_btight,2904,0.0095742838457226753,0.0095742838457226753,0
Source seed 2904,seed2904_c1062_h1_k10_btight,2904,0.0030468981713056564,0.0030468981713056564,0
Source seed 2904,seed2904_c1062_h1_k20_btight,2904,0.0022700526751577854,0.0022700526751577854,0
Source seed 2904,seed2904_c1062_h4_k10_btight,2904,0.0058520976454019547,0.0058520976454019547,0
Source seed 2904,seed2904_c1062_h4_k20_btight,2904,0.0041787251830101013,0.0041787251830101013,0
Source seed 2904,seed2904_c1063_h1_k10_bloose,2904,0.010606297291815281,0.010606297291815281,0
Source seed 2904,seed2904_c1063_h1_k20_bloose,2904,0.0060527930036187172,0.0060527930036187172,0
Source seed 2904,seed2904_c1063_h4_k10_bloose,2904,0.015216035768389702,0.018522921949625015,17.85294021228794
Source seed 2904,seed2904_c1063_h4_k20_bloose,2904,0.0088449195027351379,0.0088449195027351379,0
Source seed 2904,seed2904_c1064_h1_k10_bmedium,2904,0.00056047964608296752,0.0013189464807510376,57.505505017624529
Source seed 2904,seed2904_c1064_h1_k20_bmedium,2904,0.00073112733662128448,0.00084685249021276832,13.665326007650794
Source seed 2904,seed2904_c1064_h4_k10_bmedium,2904,0.00059683917788788676,0.0016182938124984503,63.119232535009253
Source seed 2904,seed2904_c1064_h4_k20_bmedium,2904,0.00054428953444585204,0.00098763278219848871,44.88948278587376
Source seed 2904,seed2904_c1065_h1_k10_bmedium,2904,0.0031405612826347351,0.0031405612826347351,0
Source seed 2904,seed2904_c1065_h1_k20_bmedium,2904,0.0037249617744237185,0.0037249617744237185,0
Source seed 2904,seed2904_c1065_h4_k10_bmedium,2904,0.0047388193197548389,0.0047388193197548389,0
Source seed 2904,seed2904_c1065_h4_k20_bmedium,2904,0.0055454657413065434,0.0055454657413065434,0
Source seed 2904,seed2904_c1066_h1_k10_btight,2904,0.00077322841389104724,0.00077322841389104724,0
Source seed 2904,seed2904_c1066_h1_k20_btight,2904,0.00078941322863101959,0.00078941322863101959,0
Source seed 2904,seed2904_c1066_h4_k10_btight,2904,0.0010354368714615703,0.0010354368714615703,0
Source seed 2904,seed2904_c1066_h4_k20_btight,2904,0.0010412194533273578,0.0010412194533273578,0
Source seed 2904,seed2904_c1067_h1_k10_bmedium,2904,0.00059150828747078776,0.0013574379263445735,56.4246529442674
Source seed 2904,seed2904_c1067_h1_k20_bmedium,2904,0.00048774536116980016,0.00098363682627677917,50.414080874137923
Source seed 2904,seed2904_c1067_h4_k10_bmedium,2904,0.0005966197932139039,0.0015799760585650802,62.238681404087316
Source seed 2904,seed2904_c1067_h4_k20_bmedium,2904,0.00064288161229342222,0.001144597539678216,43.833392086955087
Source seed 2904,seed2904_c1068_h1_k10_btight,2904,0.0083630243316292763,0.0083630243316292763,0
Source seed 2904,seed2904_c1068_h1_k20_btight,2904,0.0083371503278613091,0.0083371503278613091,0
Source seed 2904,seed2904_c1068_h4_k10_btight,2904,0.011105193756520748,0.011105193756520748,0
Source seed 2904,seed2904_c1068_h4_k20_btight,2904,0.012181982398033142,0.012181982398033142,0
Source seed 2904,seed2904_c1069_h1_k10_bloose,2904,0.0041310950182378292,0.0049050915986299515,15.779452122939119
Source seed 2904,seed2904_c1069_h1_k20_bloose,2904,0.0027276370674371719,0.0032416442409157753,15.856372114831288
Source seed 2904,seed2904_c1069_h4_k10_bloose,2904,0.0071635497733950615,0.0071635497733950615,0
Source seed 2904,seed2904_c1069_h4_k20_bloose,2904,0.0052222991362214088,0.0052222991362214088,0
Source seed 2904,seed2904_c1070_h1_k10_bloose,2904,0.0037730173207819462,0.0037730173207819462,0
Source seed 2904,seed2904_c1070_h1_k20_bloose,2904,0.0028173737227916718,0.0048494637012481689,41.903395996828927
Source seed 2904,seed2904_c1070_h4_k10_bloose,2904,0.0034899229649454355,0.0057804086245596409,39.624978239124012
Source seed 2904,seed2904_c1070_h4_k20_bloose,2904,0.0035072183236479759,0.0081872167065739632,57.162263448677997
Source seed 2904,seed2904_c1071_h1_k10_btight,2904,0.0049545476213097572,0.0049545476213097572,0
Source seed 2904,seed2904_c1071_h1_k20_btight,2904,0.0047441385686397552,0.0047441385686397552,0
Source seed 2904,seed2904_c1071_h4_k10_btight,2904,0.0090506505221128464,0.0090506505221128464,0
Source seed 2904,seed2904_c1071_h4_k20_btight,2904,0.0075855087488889694,0.0075855087488889694,0
Source seed 2904,seed2904_c1072_h1_k10_bmedium,2904,0.0030635299626737833,0.0036446424201130867,15.944292757841318
Source seed 2904,seed2904_c1072_h1_k20_bmedium,2904,0.0021559500601142645,0.0021559500601142645,0
Source seed 2904,seed2904_c1072_h4_k10_bmedium,2904,0.003745384281501174,0.0059925508685410023,37.499332693807283
Source seed 2904,seed2904_c1072_h4_k20_bmedium,2904,0.0026794201694428921,0.0032593121286481619,17.791851050662853
Source seed 2904,seed2904_c1073_h1_k10_bmedium,2904,0.0063682505860924721,0.0053977943025529385,-17.978756305710778
Source seed 2904,seed2904_c1073_h1_k20_bmedium,2904,0.0057383566163480282,0.0057383566163480282,0
Source seed 2904,seed2904_c1073_h4_k10_bmedium,2904,0.0082490872591733932,0.0075067947618663311,-9.8882748343916926
Source seed 2904,seed2904_c1073_h4_k20_bmedium,2904,0.0072412658482789993,0.0072412658482789993,0
Source seed 2904,seed2904_c1074_h1_k10_btight,2904,0.0022538909688591957,0.0030164755880832672,25.280649451853645
Source seed 2904,seed2904_c1074_h1_k20_btight,2904,0.0030280363280326128,0.0030280363280326128,0
Source seed 2904,seed2904_c1074_h4_k10_btight,2904,0.0036265857052057981,0.0036265857052057981,0
Source seed 2904,seed2904_c1074_h4_k20_btight,2904,0.0030049702618271112,0.0030049702618271112,0
Source seed 2904,seed2904_c1075_h1_k10_bmedium,2904,0.0011173372622579336,0.0011173372622579336,0
Source seed 2904,seed2904_c1075_h1_k20_bmedium,2904,0.0010091355070471764,0.0010422737104818225,3.1794146874650608
Source seed 2904,seed2904_c1075_h4_k10_bmedium,2904,0.0016704279696568847,0.0020517648663371801,18.585799130143982
Source seed 2904,seed2904_c1075_h4_k20_bmedium,2904,0.001396657433360815,0.001544546103104949,9.574895138891506
Source seed 2904,seed2904_c1076_h1_k10_bloose,2904,0.00098759029060602188,0.0013235379010438919,25.382545537449566
Source seed 2904,seed2904_c1076_h1_k20_bloose,2904,0.00091647764202207327,0.0011612172238528728,21.076123984689385
Source seed 2904,seed2904_c1076_h4_k10_bloose,2904,0.0010400281753391027,0.0018035456305369735,42.334246623444017
Source seed 2904,seed2904_c1076_h4_k20_bloose,2904,0.0011016227072104812,0.0015324013074859977,28.11134382169357
Source seed 2904,seed2904_c1077_h1_k10_bmedium,2904,0.012790124863386154,0.012260662391781807,-4.3183839068861429
Source seed 2904,seed2904_c1077_h1_k20_bmedium,2904,0.0084410263225436211,0.0084410263225436211,0
Source seed 2904,seed2904_c1077_h4_k10_bmedium,2904,0.011656513437628746,0.017224367707967758,32.325449414107659
Source seed 2904,seed2904_c1077_h4_k20_bmedium,2904,0.01113151665776968,0.011946428567171097,6.8213851932350957
Source seed 2904,seed2904_c1078_h1_k10_btight,2904,0.0062454813160002232,0.0062454813160002232,0
Source seed 2904,seed2904_c1078_h1_k20_btight,2904,0.0059261452406644821,0.0059261452406644821,0
Source seed 2904,seed2904_c1078_h4_k10_btight,2904,0.0084742000326514244,0.0084742000326514244,0
Source seed 2904,seed2904_c1078_h4_k20_btight,2904,0.0077846730127930641,0.0077846730127930641,0
Source seed 2904,seed2904_c1079_h1_k10_bmedium,2904,0.0090597402304410934,0.010047204792499542,9.8282515630179308
Source seed 2904,seed2904_c1079_h1_k20_bmedium,2904,0.0077468506060540676,0.0077468506060540676,0
Source seed 2904,seed2904_c1079_h4_k10_bmedium,2904,0.017198767513036728,0.017198767513036728,0
Source seed 2904,seed2904_c1079_h4_k20_bmedium,2904,0.010636953637003899,0.010636953637003899,0
Source seed 2905,seed2905_c1060_h1_k10_btight,2905,0.0039496840909123421,0.0039496840909123421,0
Source seed 2905,seed2905_c1060_h1_k20_btight,2905,0.0050238659605383873,0.0050238659605383873,0
Source seed 2905,seed2905_c1060_h4_k10_btight,2905,0.0073058377020061016,0.0073058377020061016,0
Source seed 2905,seed2905_c1060_h4_k20_btight,2905,0.0073007331229746342,0.0073007331229746342,0
Source seed 2905,seed2905_c1061_h1_k10_btight,2905,0.0083115417510271072,0.0083115417510271072,0
Source seed 2905,seed2905_c1061_h1_k20_btight,2905,0.0078773349523544312,0.0078773349523544312,0
Source seed 2905,seed2905_c1061_h4_k10_btight,2905,0.0095809260383248329,0.010718920268118382,10.616687141318891
Source seed 2905,seed2905_c1061_h4_k20_btight,2905,0.0097140474244952202,0.0097140474244952202,0
Source seed 2905,seed2905_c1062_h1_k10_btight,2905,0.0035371547564864159,0.0035371547564864159,0
Source seed 2905,seed2905_c1062_h1_k20_btight,2905,0.0022315024398267269,0.0028673296328634024,22.174890035287611
Source seed 2905,seed2905_c1062_h4_k10_btight,2905,0.0056642163544893265,0.0056642163544893265,0
Source seed 2905,seed2905_c1062_h4_k20_btight,2905,0.0042732479050755501,0.0042732479050755501,0
Source seed 2905,seed2905_c1063_h1_k10_bloose,2905,0.010447371751070023,0.012577389366924763,16.935292004683642
Source seed 2905,seed2905_c1063_h1_k20_bloose,2905,0.0060923323035240173,0.0071039833128452301,14.240616352405739
Source seed 2905,seed2905_c1063_h4_k10_bloose,2905,0.015009918250143528,0.018587766215205193,19.248402006126526
Source seed 2905,seed2905_c1063_h4_k20_bloose,2905,0.0085715837776660919,0.0092047052457928658,6.8782372843079411
Source seed 2905,seed2905_c1064_h1_k10_bmedium,2905,0.00054537394316866994,0.0012423789594322443,56.102448530044263
Source seed 2905,seed2905_c1064_h1_k20_bmedium,2905,0.00078681902959942818,0.00078681902959942818,0
Source seed 2905,seed2905_c1064_h4_k10_bmedium,2905,0.00055975699797272682,0.0014165114844217896,60.48341265646598
Source seed 2905,seed2905_c1064_h4_k20_bmedium,2905,0.00091951614012941718,0.00091951614012941718,0
Source seed 2905,seed2905_c1065_h1_k10_bmedium,2905,0.0031578368507325649,0.0037886321078985929,16.649683558636831
Source seed 2905,seed2905_c1065_h1_k20_bmedium,2905,0.0036903796717524529,0.0047703534364700317,22.639281954687583
Source seed 2905,seed2905_c1065_h4_k10_bmedium,2905,0.0043568750843405724,0.0053098220378160477,17.946871791345881
Source seed 2905,seed2905_c1065_h4_k20_bmedium,2905,0.0048307864926755428,0.0061643803492188454,21.63386716902205
Source seed 2905,seed2905_c1066_h1_k10_btight,2905,0.00081553147174417973,0.00081553147174417973,0
Source seed 2905,seed2905_c1066_h1_k20_btight,2905,0.00074069591937586665,0.00079258566256612539,6.546894000360445
Source seed 2905,seed2905_c1066_h4_k10_btight,2905,0.0010996325872838497,0.0010996325872838497,0
Source seed 2905,seed2905_c1066_h4_k20_btight,2905,0.0011102324351668358,0.0011102324351668358,0
Source seed 2905,seed2905_c1067_h1_k10_bmedium,2905,0.00055127718951553106,0.0011104826116934419,50.356972391052999
Source seed 2905,seed2905_c1067_h1_k20_bmedium,2905,0.0007536849589087069,0.0007536849589087069,0
Source seed 2905,seed2905_c1067_h4_k10_bmedium,2905,0.00081859854981303215,0.0012590992264449596,34.985382198643066
Source seed 2905,seed2905_c1067_h4_k20_bmedium,2905,0.00057794112944975495,0.00098509690724313259,41.331545637762027
Source seed 2905,seed2905_c1068_h1_k10_btight,2905,0.0086888903751969337,0.0086888903751969337,0
Source seed 2905,seed2905_c1068_h1_k20_btight,2905,0.0086238505318760872,0.0086238505318760872,0
Source seed 2905,seed2905_c1068_h4_k10_btight,2905,0.011305844411253929,0.011305844411253929,0
Source seed 2905,seed2905_c1068_h4_k20_btight,2905,0.012041273526847363,0.012041273526847363,0
Source seed 2905,seed2905_c1069_h1_k10_bloose,2905,0.0050404639914631844,0.0097508979961276054,48.307694394250518
Source seed 2905,seed2905_c1069_h1_k20_bloose,2905,0.0034533001016825438,0.0054258727468550205,36.354937485694485
Source seed 2905,seed2905_c1069_h4_k10_bloose,2905,0.0067714010365307331,0.0080176796764135361,15.544131097543268
Source seed 2905,seed2905_c1069_h4_k20_bloose,2905,0.0057943994179368019,0.0057943994179368019,0
Source seed 2905,seed2905_c1070_h1_k10_bloose,2905,0.0040208888240158558,0.0040208888240158558,0
Source seed 2905,seed2905_c1070_h1_k20_bloose,2905,0.0031500793993473053,0.0062166801653802395,49.328591538460905
Source seed 2905,seed2905_c1070_h4_k10_bloose,2905,0.0037754392251372337,0.0057135568931698799,33.921385649445753
Source seed 2905,seed2905_c1070_h4_k20_bloose,2905,0.0032957748044282198,0.0077028367668390274,57.213492844394139
Source seed 2905,seed2905_c1071_h1_k10_btight,2905,0.0050701485015451908,0.0050701485015451908,0
Source seed 2905,seed2905_c1071_h1_k20_btight,2905,0.004696904681622982,0.004696904681622982,0
Source seed 2905,seed2905_c1071_h4_k10_btight,2905,0.0083368131890892982,0.009831833653151989,15.205916991724141
Source seed 2905,seed2905_c1071_h4_k20_btight,2905,0.0069437380880117416,0.0082059698179364204,15.381871465889645
Source seed 2905,seed2905_c1072_h1_k10_bmedium,2905,0.0033403325360268354,0.0057330266572535038,41.73526941828186
Source seed 2905,seed2905_c1072_h1_k20_bmedium,2905,0.0022934062872081995,0.0029180969577282667,21.40746793438926
Source seed 2905,seed2905_c1072_h4_k10_bmedium,2905,0.0041415202431380749,0.0065607335418462753,36.874128224805219
Source seed 2905,seed2905_c1072_h4_k20_bmedium,2905,0.0026475980412214994,0.0034599013160914183,23.477642876461047
Source seed 2905,seed2905_c1073_h1_k10_bmedium,2905,0.0071323858574032784,0.0059085688553750515,-20.712579170756637
Source seed 2905,seed2905_c1073_h1_k20_bmedium,2905,0.0063175228424370289,0.0063175228424370289,0
Source seed 2905,seed2905_c1073_h4_k10_bmedium,2905,0.0069112195633351803,0.007181109394878149,3.7583305963207416
Source seed 2905,seed2905_c1073_h4_k20_bmedium,2905,0.0071725123561918736,0.0071725123561918736,0
Source seed 2905,seed2905_c1074_h1_k10_btight,2905,0.0021579745225608349,0.0021579745225608349,0
Source seed 2905,seed2905_c1074_h1_k20_btight,2905,0.0019985097460448742,0.0019985097460448742,0
Source seed 2905,seed2905_c1074_h4_k10_btight,2905,0.003513566916808486,0.003513566916808486,0
Source seed 2905,seed2905_c1074_h4_k20_btight,2905,0.0028824792243540287,0.0028824792243540287,0
Source seed 2905,seed2905_c1075_h1_k10_bmedium,2905,0.001058939378708601,0.0012482089223340154,15.163290394648104
Source seed 2905,seed2905_c1075_h1_k20_bmedium,2905,0.00087367190280929208,0.00087367190280929208,0
Source seed 2905,seed2905_c1075_h4_k10_bmedium,2905,0.0021011948119848967,0.00211532530374825,0.66800561305227268
Source seed 2905,seed2905_c1075_h4_k20_bmedium,2905,0.001407325267791748,0.0014644870534539223,3.903195014756935
Source seed 2905,seed2905_c1076_h1_k10_bloose,2905,0.00097359082428738475,0.0011761029018089175,17.218908074289835
Source seed 2905,seed2905_c1076_h1_k20_bloose,2905,0.00098190351855009794,0.00098190351855009794,0
Source seed 2905,seed2905_c1076_h4_k10_bloose,2905,0.0010350104421377182,0.0019697367679327726,47.454377712411002
Source seed 2905,seed2905_c1076_h4_k20_bloose,2905,0.0011981439311057329,0.0015268184943124652,21.52676067463646
Source seed 2905,seed2905_c1077_h1_k10_bmedium,2905,0.011444348841905594,0.012242309749126434,6.5180584675026703
Source seed 2905,seed2905_c1077_h1_k20_bmedium,2905,0.007848312146961689,0.0097753694280982018,19.713395952048657
Source seed 2905,seed2905_c1077_h4_k10_bmedium,2905,0.012997021898627281,0.017312688753008842,24.927767812099805
Source seed 2905,seed2905_c1077_h4_k20_bmedium,2905,0.011844073422253132,0.011939999647438526,0.80340224470587174
Source seed 2905,seed2905_c1078_h1_k10_btight,2905,0.0089434906840324402,0.0089434906840324402,0
Source seed 2905,seed2905_c1078_h1_k20_btight,2905,0.006979579571634531,0.006979579571634531,0
Source seed 2905,seed2905_c1078_h4_k10_btight,2905,0.0082019716501235962,0.0082019716501235962,0
Source seed 2905,seed2905_c1078_h4_k20_btight,2905,0.0076292608864605427,0.0077546439133584499,1.6168766522201954
Source seed 2905,seed2905_c1079_h1_k10_bmedium,2905,0.010904529131948948,0.015575815923511982,29.990639427830168
Source seed 2905,seed2905_c1079_h1_k20_bmedium,2905,0.0080481814220547676,0.010072177276015282,20.094918888890327
Source seed 2905,seed2905_c1079_h4_k10_bmedium,2905,0.011644803918898106,0.017068102955818176,31.774468732457322
Source seed 2905,seed2905_c1079_h4_k20_bmedium,2905,0.0088044414296746254,0.01082766056060791,18.685653466954388
Source seed 2906,seed2906_c1060_h1_k10_btight,2906,0.0036230909172445536,0.0036230909172445536,0
Source seed 2906,seed2906_c1060_h1_k20_btight,2906,0.0045229401439428329,0.0045229401439428329,0
Source seed 2906,seed2906_c1060_h4_k10_btight,2906,0.0077891061082482338,0.0077891061082482338,0
Source seed 2906,seed2906_c1060_h4_k20_btight,2906,0.0077187852002680302,0.0077187852002680302,0
Source seed 2906,seed2906_c1061_h1_k10_btight,2906,0.0086753815412521362,0.0086753815412521362,0
Source seed 2906,seed2906_c1061_h1_k20_btight,2906,0.0074957716278731823,0.0074957716278731823,0
Source seed 2906,seed2906_c1061_h4_k10_btight,2906,0.0098678162321448326,0.0098678162321448326,0
Source seed 2906,seed2906_c1061_h4_k20_btight,2906,0.0096660275012254715,0.0096660275012254715,0
Source seed 2906,seed2906_c1062_h1_k10_btight,2906,0.0030851452611386776,0.0030851452611386776,0
