case_key,center_id,H,K,budget_tier,anchor_test_wmse,full_selected_token,full_selected_test_wmse,full_switched,full_beneficial_switch,full_harmful_switch,full_switch_regret,no_anchor_selected_token,no_anchor_selected_test_wmse,no_anchor_switched,no_anchor_beneficial_switch,no_anchor_harmful_switch,no_anchor_switch_regret,no_anchor_additional_switch
c1000_h1_k10_bmedium,1000,1,10,medium,0.0037738580722361803,PT_A57,0.0037738580722361803,False,False,False,0.0,PT_A57,0.0037738580722361803,False,False,False,0.0,False
c1000_h1_k20_bmedium,1000,1,20,medium,0.0039103287272155285,PT_A57,0.0039103287272155285,False,False,False,0.0,PT_A57,0.0039103287272155285,False,False,False,0.0,False
c1000_h4_k10_bmedium,1000,4,10,medium,0.004831376951187849,PT_A57,0.004831376951187849,False,False,False,0.0,STRONG_A6,0.00481768324971199,True,True,False,-0.0028343268619637737,True
c1000_h4_k20_bmedium,1000,4,20,medium,0.005342940334230661,PT_A57,0.005342940334230661,False,False,False,0.0,PT_A57,0.005342940334230661,False,False,False,0.0,False
c1001_h1_k10_bmedium,1001,1,10,medium,0.0008448708103969693,PT_A57,0.0008448708103969693,False,False,False,0.0,STRONG_A6,0.0007962134550325572,True,True,False,-0.05759147399583914,True
c1001_h1_k20_bmedium,1001,1,20,medium,0.0008607617928646505,STRONG_A6,0.0007658643298782408,True,True,False,-0.11024822856081797,STRONG_A6,0.0007658643298782408,True,True,False,-0.11024822856081797,False
c1001_h4_k10_bmedium,1001,4,10,medium,0.0011399878421798348,STRONG_A55,0.0010559902293607593,True,True,False,-0.07368290225339257,STRONG_A55,0.0010559902293607593,True,True,False,-0.07368290225339257,False
c1001_h4_k20_bmedium,1001,4,20,medium,0.0011756154708564281,STRONG_A55,0.0010504896054044366,True,True,False,-0.10643434732481348,STRONG_A55,0.0010504896054044366,True,True,False,-0.10643434732481348,False
c1002_h1_k10_bloose,1002,1,10,loose,0.0032822214998304844,STRONG_A56,0.0031014257110655308,True,True,False,-0.05508336007158802,STRONG_A56,0.0031014257110655308,True,True,False,-0.05508336007158802,False
c1002_h1_k20_bloose,1002,1,20,loose,0.003326582256704569,STRONG_A56,0.003072385909035802,True,True,False,-0.07641366663338404,STRONG_A56,0.003072385909035802,True,True,False,-0.07641366663338404,False
c1002_h4_k10_bloose,1002,4,10,loose,0.003877287497743964,PT_A57,0.003877287497743964,False,False,False,0.0,STRONG_A6,0.0037641136441379786,True,True,False,-0.029188924897276248,True
c1002_h4_k20_bloose,1002,4,20,loose,0.00384343764744699,PT_A57,0.00384343764744699,False,False,False,0.0,PT_A57,0.00384343764744699,False,False,False,0.0,False
c1003_h1_k10_bmedium,1003,1,10,medium,0.018096178770065308,STRONG_A6,0.013496684841811657,True,True,False,-0.25416934627148813,STRONG_A6,0.013496684841811657,True,True,False,-0.25416934627148813,False
c1003_h1_k20_bmedium,1003,1,20,medium,0.01576331816613674,STRONG_A6,0.012036880478262901,True,True,False,-0.23639931950639,STRONG_A6,0.012036880478262901,True,True,False,-0.23639931950639,False
c1003_h4_k10_bmedium,1003,4,10,medium,0.011837267316877842,STRONG_A6,0.013144533149898052,True,False,True,0.11043645445480857,STRONG_A6,0.013144533149898052,True,False,True,0.11043645445480857,False
c1003_h4_k20_bmedium,1003,4,20,medium,0.013833443634212017,STRONG_A6,0.012889852747321129,True,True,False,-0.06821084552576964,STRONG_A6,0.012889852747321129,True,True,False,-0.06821084552576964,False
c1004_h1_k10_bmedium,1004,1,10,medium,0.001099717104807496,STRONG_A56,0.0005810937145724893,True,True,False,-0.47159709301256525,STRONG_A56,0.0005810937145724893,True,True,False,-0.47159709301256525,False
c1004_h1_k20_bmedium,1004,1,20,medium,0.0012549514649435878,STRONG_A56,0.0005875984788872302,True,True,False,-0.5317759325095336,STRONG_A56,0.0005875984788872302,True,True,False,-0.5317759325095336,False
c1004_h4_k10_bmedium,1004,4,10,medium,0.0012145654764026403,STRONG_A55,0.0007686419412493706,True,True,False,-0.3671465585427979,STRONG_A55,0.0007686419412493706,True,True,False,-0.3671465585427979,False
c1004_h4_k20_bmedium,1004,4,20,medium,0.0011269042734056711,STRONG_A55,0.0007458744803443551,True,True,False,-0.33812081621774925,STRONG_A55,0.0007458744803443551,True,True,False,-0.33812081621774925,False
c1005_h1_k10_bmedium,1005,1,10,medium,0.006767272017896175,PT_A57,0.006767272017896175,False,False,False,0.0,STRONG_A55,0.006497274152934551,True,True,False,-0.039897593034196384,True
c1005_h1_k20_bmedium,1005,1,20,medium,0.006116814911365509,PT_A57,0.006116814911365509,False,False,False,0.0,C1_A57,0.006653395015746355,True,False,True,0.08772214168130493,True
c1005_h4_k10_bmedium,1005,4,10,medium,0.008317496627569199,STRONG_A55,0.007080721668899059,True,True,False,-0.1486955767943477,STRONG_A55,0.007080721668899059,True,True,False,-0.1486955767943477,False
c1005_h4_k20_bmedium,1005,4,20,medium,0.007803450338542461,STRONG_A55,0.007844839245080948,True,False,True,0.005303923871823247,STRONG_A55,0.007844839245080948,True,False,True,0.005303923871823247,False
c1006_h1_k10_btight,1006,1,10,tight,0.0012611921411007643,STRONG_A56,0.0010268300538882613,True,True,False,-0.18582583841834494,STRONG_A56,0.0010268300538882613,True,True,False,-0.18582583841834494,False
c1006_h1_k20_btight,1006,1,20,tight,0.001524752238765359,STRONG_A56,0.0011415592161938548,True,True,False,-0.25131494322675857,STRONG_A56,0.0011415592161938548,True,True,False,-0.25131494322675857,False
c1006_h4_k10_btight,1006,4,10,tight,0.001199257094413042,PT_A57,0.001199257094413042,False,False,False,0.0,PT_A57,0.001199257094413042,False,False,False,0.0,False
c1006_h4_k20_btight,1006,4,20,tight,0.0012270029401406646,PT_A57,0.0012270029401406646,False,False,False,0.0,PT_A57,0.0012270029401406646,False,False,False,0.0,False
c1007_h1_k10_bmedium,1007,1,10,medium,0.01344730332493782,STRONG_A56,0.005618410184979439,True,True,False,-0.5821905664058032,STRONG_A56,0.005618410184979439,True,True,False,-0.5821905664058032,False
c1007_h1_k20_bmedium,1007,1,20,medium,0.00716437678784132,STRONG_A56,0.004199002869427204,True,True,False,-0.4139053550383828,STRONG_A56,0.004199002869427204,True,True,False,-0.4139053550383828,False
c1007_h4_k10_bmedium,1007,4,10,medium,0.011660125106573105,STRONG_A55,0.00407776515930891,True,True,False,-0.6502811828613697,STRONG_A55,0.00407776515930891,True,True,False,-0.6502811828613697,False
c1007_h4_k20_bmedium,1007,4,20,medium,0.006204121746122837,STRONG_A55,0.00395186385139823,True,True,False,-0.3630260634019783,STRONG_A55,0.00395186385139823,True,True,False,-0.3630260634019783,False
c1008_h1_k10_bloose,1008,1,10,loose,0.0022094817832112312,PT_A57,0.0022094817832112312,False,False,False,0.0,PT_A57,0.0022094817832112312,False,False,False,0.0,False
c1008_h1_k20_bloose,1008,1,20,loose,0.0022459274623543024,PT_A57,0.0022459274623543024,False,False,False,0.0,STRONG_A56,0.0016981710214167833,True,True,False,-0.2438887496924956,True
c1008_h4_k10_bloose,1008,4,10,loose,0.0022603182587772608,STRONG_A56,0.0022898779716342688,True,False,True,0.013077677326696858,STRONG_A56,0.0022898779716342688,True,False,True,0.013077677326696858,False
c1008_h4_k20_bloose,1008,4,20,loose,0.0022498047910630703,STRONG_A56,0.002302557695657015,True,False,True,0.02344776968208435,STRONG_A56,0.002302557695657015,True,False,True,0.02344776968208435,False
c1009_h1_k10_btight,1009,1,10,tight,0.006209691986441612,STRONG_A55,0.0059115272015333176,True,True,False,-0.048016034533000775,STRONG_A55,0.0059115272015333176,True,True,False,-0.048016034533000775,False
c1009_h1_k20_btight,1009,1,20,tight,0.00637297285720706,STRONG_A55,0.006485227961093187,True,False,True,0.017614244777704693,STRONG_A55,0.006485227961093187,True,False,True,0.017614244777704693,False
c1009_h4_k10_btight,1009,4,10,tight,0.009823612868785858,STRONG_A55,0.005931590683758259,True,True,False,-0.39619050919628107,STRONG_A55,0.005931590683758259,True,True,False,-0.39619050919628107,False
c1009_h4_k20_btight,1009,4,20,tight,0.009834608994424343,STRONG_A55,0.005575208924710751,True,True,False,-0.43310314336801026,STRONG_A55,0.005575208924710751,True,True,False,-0.43310314336801026,False
c1010_h1_k10_bmedium,1010,1,10,medium,0.0034110466949641705,STRONG_A6,0.002598431194201112,True,True,False,-0.23823054129529112,STRONG_A6,0.002598431194201112,True,True,False,-0.23823054129529112,False
c1010_h1_k20_bmedium,1010,1,20,medium,0.0038463405799120665,STRONG_A6,0.0025721832644194365,True,True,False,-0.3312648187775651,STRONG_A6,0.0025721832644194365,True,True,False,-0.3312648187775651,False
c1010_h4_k10_bmedium,1010,4,10,medium,0.0064377556554973125,STRONG_A6,0.0033401541877537966,True,True,False,-0.48116170184515433,STRONG_A6,0.0033401541877537966,True,True,False,-0.48116170184515433,False
c1010_h4_k20_bmedium,1010,4,20,medium,0.005760062951594591,STRONG_A6,0.0034274340141564608,True,True,False,-0.40496587565721126,STRONG_A6,0.0034274340141564608,True,True,False,-0.40496587565721126,False
c1011_h1_k10_bloose,1011,1,10,loose,0.0038570654578506947,STRONG_A56,0.002308711176738143,True,True,False,-0.4014332392414001,STRONG_A56,0.002308711176738143,True,True,False,-0.4014332392414001,False
c1011_h1_k20_bloose,1011,1,20,loose,0.003210548311471939,STRONG_A56,0.0021113127004355192,True,True,False,-0.3423825166455979,STRONG_A56,0.0021113127004355192,True,True,False,-0.3423825166455979,False
c1011_h4_k10_bloose,1011,4,10,loose,0.006796233355998993,STRONG_A55,0.003666442120447755,True,True,False,-0.46051850652362786,STRONG_A55,0.003666442120447755,True,True,False,-0.46051850652362786,False
c1011_h4_k20_bloose,1011,4,20,loose,0.004951176233589649,STRONG_A55,0.0038219059351831675,True,True,False,-0.2280812164425157,STRONG_A55,0.0038219059351831675,True,True,False,-0.2280812164425157,False
c1012_h1_k10_btight,1012,1,10,tight,0.0011514556827023625,STRONG_A56,0.0007383712800219655,True,True,False,-0.3587497187492058,STRONG_A56,0.0007383712800219655,True,True,False,-0.3587497187492058,False
c1012_h1_k20_btight,1012,1,20,tight,0.001200868864543736,STRONG_A55,0.0007671114872209728,True,True,False,-0.36120295043736034,STRONG_A55,0.0007671114872209728,True,True,False,-0.36120295043736034,False
c1012_h4_k10_btight,1012,4,10,tight,0.0009999781614169478,PT_A57,0.0009999781614169478,False,False,False,0.0,PT_A57,0.0009999781614169478,False,False,False,0.0,False
c1012_h4_k20_btight,1012,4,20,tight,0.0010160572128370404,PT_A57,0.0010160572128370404,False,False,False,0.0,PT_A57,0.0010160572128370404,False,False,False,0.0,False
c1013_h1_k10_bmedium,1013,1,10,medium,0.006509935017675161,STRONG_A6,0.0026667285710573196,True,True,False,-0.5903601857150294,STRONG_A6,0.0026667285710573196,True,True,False,-0.5903601857150294,False
c1013_h1_k20_bmedium,1013,1,20,medium,0.0027556964196264744,STRONG_A56,0.0020880247466266155,True,True,False,-0.24228781806381697,STRONG_A56,0.0020880247466266155,True,True,False,-0.24228781806381697,False
c1013_h4_k10_bmedium,1013,4,10,medium,0.004475685767829418,PT_A57,0.004475685767829418,False,False,False,0.0,STRONG_A55,0.004709060303866863,True,False,True,0.052142743724942604,True
c1013_h4_k20_bmedium,1013,4,20,medium,0.002898389007896185,STRONG_A55,0.002705249935388565,True,True,False,-0.06663669780516261,STRONG_A55,0.002705249935388565,True,True,False,-0.06663669780516261,False
c1014_h1_k10_bmedium,1014,1,10,medium,0.0020102295093238354,STRONG_A56,0.0010979645885527134,True,True,False,-0.45381132656049894,STRONG_A56,0.0010979645885527134,True,True,False,-0.45381132656049894,False
c1014_h1_k20_bmedium,1014,1,20,medium,0.002201481955125928,STRONG_A6,0.0012336032232269645,True,True,False,-0.43964872353630113,STRONG_A6,0.0012336032232269645,True,True,False,-0.43964872353630113,False
c1014_h4_k10_bmedium,1014,4,10,medium,0.002105908701196313,STRONG_A6,0.0018753668991848826,True,True,False,-0.10947378762003859,STRONG_A6,0.0018753668991848826,True,True,False,-0.10947378762003859,False
c1014_h4_k20_bmedium,1014,4,20,medium,0.0018431858625262976,STRONG_A6,0.0015355608193203807,True,True,False,-0.16689854739737583,STRONG_A6,0.0015355608193203807,True,True,False,-0.16689854739737583,False
c1015_h1_k10_bmedium,1015,1,10,medium,0.009499071165919304,STRONG_A6,0.006069154478609562,True,True,False,-0.3610791652192787,STRONG_A6,0.006069154478609562,True,True,False,-0.3610791652192787,False
c1015_h1_k20_bmedium,1015,1,20,medium,0.0068078674376010895,STRONG_A56,0.00570094957947731,True,True,False,-0.162593920652373,STRONG_A56,0.00570094957947731,True,True,False,-0.162593920652373,False
c1015_h4_k10_bmedium,1015,4,10,medium,0.009965171106159687,STRONG_A6,0.010470005683600903,True,False,True,0.05065990056894321,STRONG_A6,0.010470005683600903,True,False,True,0.05065990056894321,False
c1015_h4_k20_bmedium,1015,4,20,medium,0.007827775552868843,STRONG_A6,0.008546912111341953,True,False,True,0.09186984904257764,STRONG_A6,0.008546912111341953,True,False,True,0.09186984904257764,False
c1016_h1_k10_btight,1016,1,10,tight,0.006543393712490797,PT_A57,0.006543393712490797,False,False,False,0.0,STRONG_A56,0.006137743592262268,True,True,False,-0.06199384264348676,True
c1016_h1_k20_btight,1016,1,20,tight,0.007025714032351971,STRONG_A56,0.0054983217269182205,True,True,False,-0.21740029528429733,STRONG_A56,0.0054983217269182205,True,True,False,-0.21740029528429733,False
c1016_h4_k10_btight,1016,4,10,tight,0.008892646059393883,PT_A57,0.008892646059393883,False,False,False,0.0,PT_A57,0.008892646059393883,False,False,False,0.0,False
c1016_h4_k20_btight,1016,4,20,tight,0.00823715329170227,PT_A57,0.00823715329170227,False,False,False,0.0,PT_A57,0.00823715329170227,False,False,False,0.0,False
c1017_h1_k10_bloose,1017,1,10,loose,0.0008918814128264785,STRONG_A6,0.0009896419942378998,True,False,True,0.10961163658741888,STRONG_A6,0.0009896419942378998,True,False,True,0.10961163658741888,False
c1017_h1_k20_bloose,1017,1,20,loose,0.0008944988949224353,STRONG_A6,0.000980653683654964,True,False,True,0.09631626056249423,STRONG_A6,0.000980653683654964,True,False,True,0.09631626056249423,False
c1017_h4_k10_bloose,1017,4,10,loose,0.0012827938189730048,STRONG_A6,0.0012970886891707778,True,False,True,0.011143544640769942,STRONG_A6,0.0012970886891707778,True,False,True,0.011143544640769942,False
c1017_h4_k20_bloose,1017,4,20,loose,0.0014969026669859886,STRONG_A6,0.0013040886260569096,True,True,False,-0.12880866942972397,STRONG_A6,0.0013040886260569096,True,True,False,-0.12880866942972397,False
c1018_h1_k10_btight,1018,1,10,tight,0.009134366177022457,STRONG_A55,0.008374913595616817,True,True,False,-0.08314234032273678,STRONG_A55,0.008374913595616817,True,True,False,-0.08314234032273678,False
c1018_h1_k20_btight,1018,1,20,tight,0.009564251638948917,STRONG_A55,0.008450271561741829,True,True,False,-0.11647331324430085,STRONG_A55,0.008450271561741829,True,True,False,-0.11647331324430085,False
c1018_h4_k10_btight,1018,4,10,tight,0.013425273820757866,STRONG_A55,0.00870700366795063,True,True,False,-0.35144684685391686,STRONG_A55,0.00870700366795063,True,True,False,-0.35144684685391686,False
c1018_h4_k20_btight,1018,4,20,tight,0.013637078925967216,STRONG_A55,0.008846298791468143,True,True,False,-0.35130544892758103,STRONG_A55,0.008846298791468143,True,True,False,-0.35130544892758103,False
c1019_h1_k10_bmedium,1019,1,10,medium,0.0015295663615688682,STRONG_A56,0.00148555519990623,True,True,False,-0.028773620249285915,STRONG_A56,0.00148555519990623,True,True,False,-0.028773620249285915,False
c1019_h1_k20_bmedium,1019,1,20,medium,0.0014915073988959193,STRONG_A56,0.0014475304633378983,True,True,False,-0.029484892640217458,STRONG_A56,0.0014475304633378983,True,True,False,-0.029484892640217458,False
c1019_h4_k10_bmedium,1019,4,10,medium,0.002179654547944665,STRONG_A6,0.0026094496715813875,True,False,True,0.1971849731164137,STRONG_A6,0.0026094496715813875,True,False,True,0.1971849731164137,False
c1019_h4_k20_bmedium,1019,4,20,medium,0.0020036858040839434,STRONG_A6,0.002628838876262307,True,False,True,0.3120015476439298,STRONG_A6,0.002628838876262307,True,False,True,0.3120015476439298,False
