method,case_key,center_id,H,K,budget_tier,test_wmse,test_mae,test_worst10
common12_sgd_mse50_valbest,c1101_h1_k10_bmedium,1101,1,10,medium,0.002417460549622774,0.040777795016765594,0.008943131193518639
common12_sgd_mse50_valbest,c1101_h1_k20_bmedium,1101,1,20,medium,0.0025546082761138678,0.0414939820766449,0.009793831035494804
common12_sgd_mse50_valbest,c1101_h4_k10_bmedium,1101,4,10,medium,0.003320269985124469,0.04718264564871788,0.01242320891469717
common12_sgd_mse50_valbest,c1101_h4_k20_bmedium,1101,4,20,medium,0.003506638342514634,0.04835786670446396,0.012747087515890598
common12_sgd_mse50_valbest,c1102_h1_k10_btight,1102,1,10,tight,0.00837663747370243,0.0735296756029129,0.03354492038488388
common12_sgd_mse50_valbest,c1102_h1_k20_btight,1102,1,20,tight,0.005008258391171694,0.05468115210533142,0.02235662378370762
common12_sgd_mse50_valbest,c1102_h4_k10_btight,1102,4,10,tight,0.012717870064079762,0.09125858545303345,0.04676424339413643
common12_sgd_mse50_valbest,c1102_h4_k20_btight,1102,4,20,tight,0.008193641901016235,0.07053587585687637,0.03322463110089302
common12_sgd_mse50_valbest,c1103_h1_k10_bmedium,1103,1,10,medium,0.0017619997961446643,0.03366343677043915,0.00769828911870718
common12_sgd_mse50_valbest,c1103_h1_k20_bmedium,1103,1,20,medium,0.001650103717111051,0.033403679728507996,0.006706540007144213
common12_sgd_mse50_valbest,c1103_h4_k10_bmedium,1103,4,10,medium,0.0025669049937278032,0.040888711810112,0.009902079589664936
common12_sgd_mse50_valbest,c1103_h4_k20_bmedium,1103,4,20,medium,0.0021005820017307997,0.037597909569740295,0.007821561768651009
common12_sgd_mse50_valbest,c1104_h1_k10_bloose,1104,1,10,loose,0.001929895137436688,0.03627066686749458,0.007702436298131943
common12_sgd_mse50_valbest,c1104_h1_k20_bloose,1104,1,20,loose,0.0019511050777509809,0.03442177176475525,0.009903681464493275
common12_sgd_mse50_valbest,c1104_h4_k10_bloose,1104,4,10,loose,0.003264520550146699,0.044580161571502686,0.014817086979746819
common12_sgd_mse50_valbest,c1104_h4_k20_bloose,1104,4,20,loose,0.0029835838358849287,0.04410279169678688,0.011809888295829296
common12_sgd_mse50_valbest,c1105_h1_k10_btight,1105,1,10,tight,0.0033284772653132677,0.04652545601129532,0.013627025298774242
common12_sgd_mse50_valbest,c1105_h1_k20_btight,1105,1,20,tight,0.005572191905230284,0.06219867989420891,0.01976659893989563
common12_sgd_mse50_valbest,c1105_h4_k10_btight,1105,4,10,tight,0.004923225846141577,0.05698045343160629,0.0170632004737854
common12_sgd_mse50_valbest,c1105_h4_k20_btight,1105,4,20,tight,0.0058470601215958595,0.0628582015633583,0.020426930859684944
common12_sgd_mse50_valbest,c1106_h1_k10_btight,1106,1,10,tight,0.006175498012453318,0.06379053741693497,0.02425285428762436
common12_sgd_mse50_valbest,c1106_h1_k20_btight,1106,1,20,tight,0.007150700315833092,0.06873572617769241,0.027804335579276085
common12_sgd_mse50_valbest,c1106_h4_k10_btight,1106,4,10,tight,0.014300638809800148,0.09993009269237518,0.04075450822710991
common12_sgd_mse50_valbest,c1106_h4_k20_btight,1106,4,20,tight,0.010694155469536781,0.08388039469718933,0.0348488874733448
common12_sgd_mse50_valbest,c1107_h1_k10_bmedium,1107,1,10,medium,0.006006929557770491,0.06207551062107086,0.0258176252245903
common12_sgd_mse50_valbest,c1107_h1_k20_bmedium,1107,1,20,medium,0.0057863579131662846,0.0605258047580719,0.02590528503060341
common12_sgd_mse50_valbest,c1107_h4_k10_bmedium,1107,4,10,medium,0.007851539179682732,0.07007785886526108,0.030882421880960464
common12_sgd_mse50_valbest,c1107_h4_k20_bmedium,1107,4,20,medium,0.0072596268728375435,0.0672835111618042,0.02813393995165825
common12_sgd_mse50_valbest,c1108_h1_k10_btight,1108,1,10,tight,0.004106632433831692,0.0520232655107975,0.017186053097248077
common12_sgd_mse50_valbest,c1108_h1_k20_btight,1108,1,20,tight,0.003323181066662073,0.04595766216516495,0.014539146795868874
common12_sgd_mse50_valbest,c1108_h4_k10_btight,1108,4,10,tight,0.005155735183507204,0.05794462934136391,0.019858241081237793
common12_sgd_mse50_valbest,c1108_h4_k20_btight,1108,4,20,tight,0.005563236307352781,0.06171955540776253,0.020620549097657204
common12_sgd_mse50_valbest,c1109_h1_k10_bmedium,1109,1,10,medium,0.010609667748212814,0.08391117304563522,0.04352866858243942
common12_sgd_mse50_valbest,c1109_h1_k20_bmedium,1109,1,20,medium,0.008863458409905434,0.0758066177368164,0.037830594927072525
common12_sgd_mse50_valbest,c1109_h4_k10_bmedium,1109,4,10,medium,0.011109823361039162,0.08550669997930527,0.036242540925741196
common12_sgd_mse50_valbest,c1109_h4_k20_bmedium,1109,4,20,medium,0.014850788749754429,0.09834703058004379,0.053747113794088364
common12_sgd_mse50_valbest,c1110_h1_k10_btight,1110,1,10,tight,0.002555804094299674,0.04085917770862579,0.010412534698843956
common12_sgd_mse50_valbest,c1110_h1_k20_btight,1110,1,20,tight,0.002627066569402814,0.04165548458695412,0.01050135213881731
common12_sgd_mse50_valbest,c1110_h4_k10_btight,1110,4,10,tight,0.0030200104229152203,0.04411426559090614,0.011392920278012753
common12_sgd_mse50_valbest,c1110_h4_k20_btight,1110,4,20,tight,0.0030914682429283857,0.044710904359817505,0.012056589126586914
common12_sgd_mse50_valbest,c1111_h1_k10_bloose,1111,1,10,loose,0.001832084613852203,0.03414138779044151,0.008367577567696571
common12_sgd_mse50_valbest,c1111_h1_k20_bloose,1111,1,20,loose,0.0020942986011505127,0.03695845603942871,0.008526749908924103
common12_sgd_mse50_valbest,c1111_h4_k10_bloose,1111,4,10,loose,0.0018605295335873961,0.0343250036239624,0.00756547087803483
common12_sgd_mse50_valbest,c1111_h4_k20_bloose,1111,4,20,loose,0.00218042335473001,0.03736308589577675,0.00816432200372219
common12_sgd_mse50_valbest,c1112_h1_k10_bmedium,1112,1,10,medium,0.007772468496114016,0.07202579081058502,0.03213493153452873
common12_sgd_mse50_valbest,c1112_h1_k20_bmedium,1112,1,20,medium,0.007326538674533367,0.0690552145242691,0.03174678981304169
common12_sgd_mse50_valbest,c1112_h4_k10_bmedium,1112,4,10,medium,0.007448541931807995,0.06917405873537064,0.028076039627194405
common12_sgd_mse50_valbest,c1112_h4_k20_bmedium,1112,4,20,medium,0.005862479563802481,0.06130373477935791,0.021893801167607307
common12_sgd_mse50_valbest,c1113_h1_k10_bmedium,1113,1,10,medium,0.002524589654058218,0.03969782963395119,0.011634242720901966
common12_sgd_mse50_valbest,c1113_h1_k20_bmedium,1113,1,20,medium,0.0025180652737617493,0.03970729932188988,0.011480025947093964
common12_sgd_mse50_valbest,c1113_h4_k10_bmedium,1113,4,10,medium,0.003339179791510105,0.045283880084753036,0.013258462771773338
common12_sgd_mse50_valbest,c1113_h4_k20_bmedium,1113,4,20,medium,0.0035691990051418543,0.04683845862746239,0.01554943062365055
common12_sgd_mse50_valbest,c1114_h1_k10_bmedium,1114,1,10,medium,0.005895612761378288,0.061134081333875656,0.025872638449072838
common12_sgd_mse50_valbest,c1114_h1_k20_bmedium,1114,1,20,medium,0.009026223793625832,0.07775687426328659,0.03456858918070793
common12_sgd_mse50_valbest,c1114_h4_k10_bmedium,1114,4,10,medium,0.008222604170441628,0.07342464476823807,0.029043668881058693
common12_sgd_mse50_valbest,c1114_h4_k20_bmedium,1114,4,20,medium,0.00712992250919342,0.06793661415576935,0.025283776223659515
common12_sgd_mse50_valbest,c1115_h1_k10_bmedium,1115,1,10,medium,0.012839090079069138,0.09419767558574677,0.048755012452602386
common12_sgd_mse50_valbest,c1115_h1_k20_bmedium,1115,1,20,medium,0.019993981346488,0.11744797229766846,0.075223408639431
common12_sgd_mse50_valbest,c1115_h4_k10_bmedium,1115,4,10,medium,0.01455953810364008,0.09929538518190384,0.04858870431780815
common12_sgd_mse50_valbest,c1115_h4_k20_bmedium,1115,4,20,medium,0.02247464843094349,0.12423927336931229,0.07618739455938339
common12_sgd_mse50_valbest,c1116_h1_k10_bmedium,1116,1,10,medium,0.0015078670112416148,0.030174117535352707,0.007024141028523445
common12_sgd_mse50_valbest,c1116_h1_k20_bmedium,1116,1,20,medium,0.0018842322751879692,0.03376594930887222,0.008861313574016094
common12_sgd_mse50_valbest,c1116_h4_k10_bmedium,1116,4,10,medium,0.002839386695995927,0.040039606392383575,0.015367809683084488
common12_sgd_mse50_valbest,c1116_h4_k20_bmedium,1116,4,20,medium,0.0028006350621581078,0.039188552647829056,0.015645088627934456
common12_sgd_mse50_valbest,c1117_h1_k10_bmedium,1117,1,10,medium,0.0197351835668087,0.11876633018255234,0.06970773637294769
common12_sgd_mse50_valbest,c1117_h1_k20_bmedium,1117,1,20,medium,0.014188061468303204,0.09895288199186325,0.05217435210943222
common12_sgd_mse50_valbest,c1117_h4_k10_bmedium,1117,4,10,medium,0.02652406133711338,0.13545216619968414,0.0852670967578888
common12_sgd_mse50_valbest,c1117_h4_k20_bmedium,1117,4,20,medium,0.02478218637406826,0.13255131244659424,0.08045369386672974
common12_sgd_mse50_valbest,c1118_h1_k10_bmedium,1118,1,10,medium,0.006274955812841654,0.06449262797832489,0.025084789842367172
common12_sgd_mse50_valbest,c1118_h1_k20_bmedium,1118,1,20,medium,0.004981509875506163,0.057998575270175934,0.020023098215460777
common12_sgd_mse50_valbest,c1118_h4_k10_bmedium,1118,4,10,medium,0.007509659510105848,0.0707431212067604,0.02664867416024208
common12_sgd_mse50_valbest,c1118_h4_k20_bmedium,1118,4,20,medium,0.006368966773152351,0.06488959491252899,0.023412415757775307
common12_sgd_mse50_valbest,c1119_h1_k10_bmedium,1119,1,10,medium,0.0040175048634409904,0.05278386175632477,0.014969250187277794
common12_sgd_mse50_valbest,c1119_h1_k20_bmedium,1119,1,20,medium,0.003331500105559826,0.04628973826766014,0.013844904489815235
common12_sgd_mse50_valbest,c1119_h4_k10_bmedium,1119,4,10,medium,0.004799708258360624,0.05623074248433113,0.017890462651848793
common12_sgd_mse50_valbest,c1119_h4_k20_bmedium,1119,4,20,medium,0.006186558865010738,0.06268158555030823,0.025369247421622276
common12_sgd_mse50_anchor_safe,c1100_h1_k10_btight,1100,1,10,tight,0.0064775170758366585,0.06537272781133652,0.026051204651594162
common12_sgd_mse50_anchor_safe,c1100_h1_k20_btight,1100,1,20,tight,0.006152208428829908,0.0637534037232399,0.02548191510140896
common12_sgd_mse50_anchor_safe,c1100_h4_k10_btight,1100,4,10,tight,0.00681077828630805,0.06587303429841995,0.02518211305141449
common12_sgd_mse50_anchor_safe,c1100_h4_k20_btight,1100,4,20,tight,0.006864331196993589,0.06613810360431671,0.02547389641404152
common12_sgd_mse50_anchor_safe,c1101_h1_k10_bmedium,1101,1,10,medium,0.002417460549622774,0.040777795016765594,0.008943131193518639
common12_sgd_mse50_anchor_safe,c1101_h1_k20_bmedium,1101,1,20,medium,0.0025546082761138678,0.0414939820766449,0.009793831035494804
common12_sgd_mse50_anchor_safe,c1101_h4_k10_bmedium,1101,4,10,medium,0.0035306077916175127,0.048285748809576035,0.013551121577620506
common12_sgd_mse50_anchor_safe,c1101_h4_k20_bmedium,1101,4,20,medium,0.003924489486962557,0.050633661448955536,0.01558178011327982
common12_sgd_mse50_anchor_safe,c1102_h1_k10_btight,1102,1,10,tight,0.00837663747370243,0.0735296756029129,0.03354492038488388
common12_sgd_mse50_anchor_safe,c1102_h1_k20_btight,1102,1,20,tight,0.005008258391171694,0.05468115210533142,0.02235662378370762
common12_sgd_mse50_anchor_safe,c1102_h4_k10_btight,1102,4,10,tight,0.01181722804903984,0.08737348020076752,0.044554077088832855
common12_sgd_mse50_anchor_safe,c1102_h4_k20_btight,1102,4,20,tight,0.007048210594803095,0.06455537676811218,0.03059929795563221
common12_sgd_mse50_anchor_safe,c1103_h1_k10_bmedium,1103,1,10,medium,0.0017619997961446643,0.03366343677043915,0.00769828911870718
common12_sgd_mse50_anchor_safe,c1103_h1_k20_bmedium,1103,1,20,medium,0.001650103717111051,0.033403679728507996,0.006706540007144213
common12_sgd_mse50_anchor_safe,c1103_h4_k10_bmedium,1103,4,10,medium,0.0025669049937278032,0.040888711810112,0.009902079589664936
common12_sgd_mse50_anchor_safe,c1103_h4_k20_bmedium,1103,4,20,medium,0.002409683307632804,0.04041079059243202,0.008754829876124859
common12_sgd_mse50_anchor_safe,c1104_h1_k10_bloose,1104,1,10,loose,0.001929895137436688,0.03627066686749458,0.007702436298131943
common12_sgd_mse50_anchor_safe,c1104_h1_k20_bloose,1104,1,20,loose,0.0019511050777509809,0.03442177176475525,0.009903681464493275
common12_sgd_mse50_anchor_safe,c1104_h4_k10_bloose,1104,4,10,loose,0.003264520550146699,0.044580161571502686,0.014817086979746819
common12_sgd_mse50_anchor_safe,c1104_h4_k20_bloose,1104,4,20,loose,0.003450858173891902,0.0461825430393219,0.015290927141904831
common12_sgd_mse50_anchor_safe,c1105_h1_k10_btight,1105,1,10,tight,0.0033284772653132677,0.04652545601129532,0.013627025298774242
common12_sgd_mse50_anchor_safe,c1105_h1_k20_btight,1105,1,20,tight,0.005572191905230284,0.06219867989420891,0.01976659893989563
common12_sgd_mse50_anchor_safe,c1105_h4_k10_btight,1105,4,10,tight,0.00497234333306551,0.057072192430496216,0.01778205670416355
common12_sgd_mse50_anchor_safe,c1105_h4_k20_btight,1105,4,20,tight,0.007056770846247673,0.07004862278699875,0.02349689230322838
common12_sgd_mse50_anchor_safe,c1106_h1_k10_btight,1106,1,10,tight,0.006175498012453318,0.06379053741693497,0.02425285428762436
common12_sgd_mse50_anchor_safe,c1106_h1_k20_btight,1106,1,20,tight,0.006862045265734196,0.06708372384309769,0.02762945555150509
common12_sgd_mse50_anchor_safe,c1106_h4_k10_btight,1106,4,10,tight,0.012842468917369843,0.09270830452442169,0.0398407056927681
common12_sgd_mse50_anchor_safe,c1106_h4_k20_btight,1106,4,20,tight,0.010694155469536781,0.08388039469718933,0.0348488874733448
common12_sgd_mse50_anchor_safe,c1107_h1_k10_bmedium,1107,1,10,medium,0.006006929557770491,0.06207551062107086,0.0258176252245903
common12_sgd_mse50_anchor_safe,c1107_h1_k20_bmedium,1107,1,20,medium,0.0058472114615142345,0.05992387607693672,0.026423607021570206
common12_sgd_mse50_anchor_safe,c1107_h4_k10_bmedium,1107,4,10,medium,0.008510060608386993,0.07333196699619293,0.03300485387444496
common12_sgd_mse50_anchor_safe,c1107_h4_k20_bmedium,1107,4,20,medium,0.007480240426957607,0.06876753270626068,0.027146704494953156
common12_sgd_mse50_anchor_safe,c1108_h1_k10_btight,1108,1,10,tight,0.004106632433831692,0.0520232655107975,0.017186053097248077
common12_sgd_mse50_anchor_safe,c1108_h1_k20_btight,1108,1,20,tight,0.003323181066662073,0.04595766216516495,0.014539146795868874
common12_sgd_mse50_anchor_safe,c1108_h4_k10_btight,1108,4,10,tight,0.005155735183507204,0.05794462934136391,0.019858241081237793
common12_sgd_mse50_anchor_safe,c1108_h4_k20_btight,1108,4,20,tight,0.004868199583142996,0.05551490932703018,0.019013073295354843
common12_sgd_mse50_anchor_safe,c1109_h1_k10_bmedium,1109,1,10,medium,0.012235518544912338,0.08881485462188721,0.04969588294625282
common12_sgd_mse50_anchor_safe,c1109_h1_k20_bmedium,1109,1,20,medium,0.009681436233222485,0.08074995875358582,0.03910331428050995
common12_sgd_mse50_anchor_safe,c1109_h4_k10_bmedium,1109,4,10,medium,0.011109823361039162,0.08550669997930527,0.036242540925741196
common12_sgd_mse50_anchor_safe,c1109_h4_k20_bmedium,1109,4,20,medium,0.014850788749754429,0.09834703058004379,0.053747113794088364
common12_sgd_mse50_anchor_safe,c1110_h1_k10_btight,1110,1,10,tight,0.002516020555049181,0.04129956662654877,0.009413104504346848
common12_sgd_mse50_anchor_safe,c1110_h1_k20_btight,1110,1,20,tight,0.002482554642483592,0.04096365347504616,0.009408202022314072
common12_sgd_mse50_anchor_safe,c1110_h4_k10_btight,1110,4,10,tight,0.0031628485303372145,0.04549414664506912,0.012026282958686352
common12_sgd_mse50_anchor_safe,c1110_h4_k20_btight,1110,4,20,tight,0.0030914682429283857,0.044710904359817505,0.012056589126586914
common12_sgd_mse50_anchor_safe,c1111_h1_k10_bloose,1111,1,10,loose,0.001832084613852203,0.03414138779044151,0.008367577567696571
common12_sgd_mse50_anchor_safe,c1111_h1_k20_bloose,1111,1,20,loose,0.0020942986011505127,0.03695845603942871,0.008526749908924103
common12_sgd_mse50_anchor_safe,c1111_h4_k10_bloose,1111,4,10,loose,0.0018605295335873961,0.0343250036239624,0.00756547087803483
common12_sgd_mse50_anchor_safe,c1111_h4_k20_bloose,1111,4,20,loose,0.00218042335473001,0.03736308589577675,0.00816432200372219
common12_sgd_mse50_anchor_safe,c1112_h1_k10_bmedium,1112,1,10,medium,0.007772468496114016,0.07202579081058502,0.03213493153452873
common12_sgd_mse50_anchor_safe,c1112_h1_k20_bmedium,1112,1,20,medium,0.007326538674533367,0.0690552145242691,0.03174678981304169
common12_sgd_mse50_anchor_safe,c1112_h4_k10_bmedium,1112,4,10,medium,0.007448541931807995,0.06917405873537064,0.028076039627194405
common12_sgd_mse50_anchor_safe,c1112_h4_k20_bmedium,1112,4,20,medium,0.005862479563802481,0.06130373477935791,0.021893801167607307
common12_sgd_mse50_anchor_safe,c1113_h1_k10_bmedium,1113,1,10,medium,0.002524589654058218,0.03969782963395119,0.011634242720901966
common12_sgd_mse50_anchor_safe,c1113_h1_k20_bmedium,1113,1,20,medium,0.0025180652737617493,0.03970729932188988,0.011480025947093964
common12_sgd_mse50_anchor_safe,c1113_h4_k10_bmedium,1113,4,10,medium,0.0034542041830718517,0.04602186754345894,0.013265402056276798
common12_sgd_mse50_anchor_safe,c1113_h4_k20_bmedium,1113,4,20,medium,0.003704734845086932,0.04832333326339722,0.013879931531846523
common12_sgd_mse50_anchor_safe,c1114_h1_k10_bmedium,1114,1,10,medium,0.006499315612018108,0.06434012949466705,0.027906345203518867
common12_sgd_mse50_anchor_safe,c1114_h1_k20_bmedium,1114,1,20,medium,0.009026223793625832,0.07775687426328659,0.03456858918070793
common12_sgd_mse50_anchor_safe,c1114_h4_k10_bmedium,1114,4,10,medium,0.008222604170441628,0.07342464476823807,0.029043668881058693
common12_sgd_mse50_anchor_safe,c1114_h4_k20_bmedium,1114,4,20,medium,0.00712992250919342,0.06793661415576935,0.025283776223659515
common12_sgd_mse50_anchor_safe,c1115_h1_k10_bmedium,1115,1,10,medium,0.012839090079069138,0.09419767558574677,0.048755012452602386
common12_sgd_mse50_anchor_safe,c1115_h1_k20_bmedium,1115,1,20,medium,0.019993981346488,0.11744797229766846,0.075223408639431
common12_sgd_mse50_anchor_safe,c1115_h4_k10_bmedium,1115,4,10,medium,0.01455953810364008,0.09929538518190384,0.04858870431780815
common12_sgd_mse50_anchor_safe,c1115_h4_k20_bmedium,1115,4,20,medium,0.02247464843094349,0.12423927336931229,0.07618739455938339
common12_sgd_mse50_anchor_safe,c1116_h1_k10_bmedium,1116,1,10,medium,0.0015078670112416148,0.030174117535352707,0.007024141028523445
common12_sgd_mse50_anchor_safe,c1116_h1_k20_bmedium,1116,1,20,medium,0.001760599436238408,0.03329138830304146,0.0077341580763459206
common12_sgd_mse50_anchor_safe,c1116_h4_k10_bmedium,1116,4,10,medium,0.0022448645904660225,0.037059661000967026,0.009486610069870949
common12_sgd_mse50_anchor_safe,c1116_h4_k20_bmedium,1116,4,20,medium,0.0028006350621581078,0.039188552647829056,0.015645088627934456
common12_sgd_mse50_anchor_safe,c1117_h1_k10_bmedium,1117,1,10,medium,0.0197351835668087,0.11876633018255234,0.06970773637294769
common12_sgd_mse50_anchor_safe,c1117_h1_k20_bmedium,1117,1,20,medium,0.014188061468303204,0.09895288199186325,0.05217435210943222
common12_sgd_mse50_anchor_safe,c1117_h4_k10_bmedium,1117,4,10,medium,0.03168141096830368,0.1522093117237091,0.0981411412358284
common12_sgd_mse50_anchor_safe,c1117_h4_k20_bmedium,1117,4,20,medium,0.0268932543694973,0.13808467984199524,0.08767426013946533
common12_sgd_mse50_anchor_safe,c1118_h1_k10_bmedium,1118,1,10,medium,0.006274955812841654,0.06449262797832489,0.025084789842367172
common12_sgd_mse50_anchor_safe,c1118_h1_k20_bmedium,1118,1,20,medium,0.004981509875506163,0.057998575270175934,0.020023098215460777
common12_sgd_mse50_anchor_safe,c1118_h4_k10_bmedium,1118,4,10,medium,0.007509659510105848,0.0707431212067604,0.02664867416024208
common12_sgd_mse50_anchor_safe,c1118_h4_k20_bmedium,1118,4,20,medium,0.006368966773152351,0.06488959491252899,0.023412415757775307
common12_sgd_mse50_anchor_safe,c1119_h1_k10_bmedium,1119,1,10,medium,0.0040175048634409904,0.05278386175632477,0.014969250187277794
common12_sgd_mse50_anchor_safe,c1119_h1_k20_bmedium,1119,1,20,medium,0.003331500105559826,0.04628973826766014,0.013844904489815235
common12_sgd_mse50_anchor_safe,c1119_h4_k10_bmedium,1119,4,10,medium,0.004799708258360624,0.05623074248433113,0.017890462651848793
common12_sgd_mse50_anchor_safe,c1119_h4_k20_bmedium,1119,4,20,medium,0.006186558865010738,0.06268158555030823,0.025369247421622276
